"Ecuador, Guayaquil",0,"0,1441152"
"Ecuador, Guayaquill",0,"0,178272"
"Ecuador, mobile",0,"0,28636416"
"Ecuador, mobile Movistar",0,"0,28014336"
"Ecuador, mobile Porta",0,"0,28843776"
"Ecuador, Quito",0,"0,1420416"
Egypt,0,"0,09818496"
"Egypt, Alexandria",0,"0,09403776"
"Egypt, Cairo",0,"0,09818496"
"Egypt, mobile",0,"0,17345664"
"Egypt, mobile Etisalat",0,"0,12109824"
El Salvador,0,"0,204768"
"El Salvador, mobile",0,"0,21949056"
"El Salvador, mobile Digicel",0,"0,22571136"
Ellipso,0,"4,6479744"
EMSAT,0,"6,0403968"
Equatorial Guinea,0,"0,2654208"
"Equatorial Guinea, mobile",0,"0,2674944"
Eritrea,0,"0,3177792"
"Eritrea, mobile",0,"0,324"
Estonia,0,"0,02301696"
"Estonia, mobile",0,"0,43680384"
"Estonia, Special Services",0,"0,79657344"
Ethiopia,0,"0,34701696"
"Ethiopia, Addis Abeba",0,"0,34286976"
"Ethiopia, mobile",0,"0,34079616"
"Ethiopia, mobile ETA",0,"0,31135104"
ETNS Euro Space,0,"10,03186944"
Falkland Islands,0,"1,62653184"
Faroe Islands,0,"0,11695104"
"Faroe Islands, mobile",0,"0,28014336"
Fiji Islands,0,"0,34909056"
"Fiji Islands, mobile",0,"0,34909056"
"Fiji Islands, Special Services",0,"4,6479744"
Finland,0,"0,05837184"
"Finland, Corporate",0,"0,075168"
"Finland, Helsinki",0,"0,05629824"
"Finland, mobile",0,"0,172128"
"Finland, Mobile Aaland Mobil",0,"0,0710208"
"Finland, Mobile DNA",0,"0,0689472"
"Finland, Mobile Elisa",0,"0,0689472"
"Finland, Mobile Others",0,"0,0689472"
"Finland, Mobile Sonera",0,"0,0689472"
"Finland, Mobile TDC",0,"0,0689472"
"Finland, Premium",0,"0,09611136"
"Finland, Special Services",0,"0,148416"
France,0,"0,0062208"
"France, fixed alternative networks",0,"0,034464"
"France, mobile",0,"0,03545856"
"France, mobile Bouygues",0,"0,03338496"
"France, mobile Globalstar",0,"0,58548096"
"France, mobile Orange",0,"0,03338496"
"France, mobile SFR",0,"0,03338496"
"France, Paris",0,"0,0062208"
"France, Special Services",0,"0,20912256"
French Antilles,0,"0,03960576"
"French Antilles, mobile",0,"0,16298496"
French Guiana,0,"0,0627264"
"French Guiana, mobile",0,"0,139968"
French Polynesia,0,"0,3929472"
"French Polynesia, mobile",0,"0,42436224"
Gabon,0,"0,59792256"
"Gabon, mobile",0,"0,59999616"
Gambia,0,"0,59999616"
"Gambia, mobile",0,"0,636768"
"Gambia, mobile Africell",0,"0,59999616"
"Gambia, mobile Comium",0,"0,59999616"
"Gambia, mobile Gamcell",0,"0,59999616"
"Gambia, mobile Qcell",0,"0,59999616"
Georgia,0,"0,0813888"
"Georgia, mobile",0,"0,1441152"
"Georgia, mobile Geocell",0,"0,1441152"
"Georgia, mobile Magtikom",0,"0,1441152"
"Georgia, Special services",0,"0,0813888"
"Georgia, Tbilisi",0,"0,0813888"
Germany,0,"0,0145152"
"Germany, mobile",0,"0,04385664"
"Germany, mobile Eplus",0,"0,04593024"
"Germany, mobile O2",0,"0,04593024"
"Germany, mobile T-Mobile",0,"0,04593024"
"Germany, mobile Vodafone D2",0,"0,04593024"
"Germany, Personal Number",0,"0,0813888"
"Germany, Special Services",0,"0,05215104"
Ghana,0,"0,29051136"
"Ghana, Accra",0,"0,29051136"
"Ghana, mobile",0,"0,20912256"
"Ghana, mobile MTN",0,"0,2068416"
Gibraltar,0,"0,05837184"
"Gibraltar, mobile",0,"0,3950208"
Globalstar,0,"5,80836096"
Greece,0,"0,0165888"
"Greece, Athens",0,"0,0145152"
"Greece, mobile",0,"0,02923776"
"Greece, mobile Wind",0,"0,02923776"
Greenland,0,"0,79024896"
"Greenland, mobile",0,"0,81316224"
Grenada,0,"0,28014336"
"Grenada, mobile",0,"0,3260736"
Guadeloupe,0,"0,02509056"
"Guadeloupe, mobile",0,"0,10450944"
Guam,0,"0,02509056"
"Guam, mobile",0,"0,03545856"
Guatemala,0,"0,17138304"
"Guatemala, mobile",0,"0,1923264"
Guinea,0,"0,62498304"
"Guinea, mobile",0,"0,54566784"
"Guinea, mobile Areeba",0,"0,5811264"
"Guinea, mobile Cellcom",0,"0,55810944"
"Guinea, mobile Intercel",0,"0,53519616"
"Guinea, mobile Orange",0,"0,47869056"
"Guinea, mobile Sotelgui",0,"0,61461504"
Guinea-Bissau,0,"0,46832256"
"Guinea-Bissau, mobile",0,"0,5101056"
Guyana,0,"0,34909056"
"Guyana, mobile",0,"0,3805056"
"Guyana, Special Services",0,"0,46624896"
Haiti,0,"0,41814144"
"Haiti, mobile",0,"0,3950208"
Hawaii,0,"0,0145152"
Honduras,0,"0,16091136"
"Honduras, mobile",0,"0,204768"
Hong Kong,0,"0,02509056"
"Hong Kong, mobile",0,"0,02509056"
Hungary,0,"0,010368"
"Hungary, Budapest",0,"0,010368"
"Hungary, mobile",0,"0,0627264"
Iceland,0,"0,02923776"
"Iceland, mobile",0,"0,16723584"
India,0,"0,03338496"
"India, Bombay",0,"0,02923776"
"India, Calcutta",0,"0,02923776"
"India, mobile",0,"0,02923776"
"India, mobile BSNL",0,"0,02716416"
"India, New Delhi",0,"0,02923776"
"India, Punjab",0,"0,02923776"
Indonesia,0,"0,06044544"
"Indonesia, Jakarta",0,"0,0186624"
"Indonesia, mobile",0,"0,03338496"
Inmarsat (SNAC) Aero,0,"6,9709248"
Inmarsat B (SNAC) Except Pacific,0,"4,30656"
Inmarsat B (SNAC) -S,0,"2,55705984"
Inmarsat B GAN,0,"1,643328"
Inmarsat B HSD (SNAC) -S,0,"8,13131136"
Inmarsat BGAN SNAC,0,"2,873856"
Inmarsat HSD Atlantic Ocean East,0,"12,906624"
Inmarsat HSD Atlantic Ocean West,0,"12,906624"
Inmarsat HSD Indian Ocean,0,"12,906624"
Inmarsat HSD Pacific Ocean,0,"12,906624"
Inmarsat HSD SNAC Except Pacific,0,"13,627296"
Inmarsat M (SNAC) Except Pacific,0,"2,325024"
Inmarsat M4 (SNAC) HSD,0,"8,13131136"
Inmarsat M4/ Atlantic Ocean East,0,"12,906624"
Inmarsat M4/ Atlantic Ocean West,0,"12,906624"
Inmarsat M4/ Indian Ocean,0,"12,906624"
Inmarsat M4/ Pacific Ocean,0,"12,906624"
Inmarsat Mini-M (SNAC) Except Pacific,0,"2,873856"
Inmarsat Mini-M Fleet,0,"1,85867136"
Inmarsat SNAC,0,"8,13131136"
Inmarsat-A Atlantic Ocean region East,0,"12,906624"
Inmarsat-A Atlantic Ocean region West,0,"12,906624"
Inmarsat-A Indian Ocean region,0,"12,906624"
Inmarsat-A Pacific Ocean region,0,"12,906624"
Inmarsat-AERO Atlantic Ocean region East,0,"12,906624"
Inmarsat-AERO Atlantic Ocean region West,0,"12,906624"
Inmarsat-AERO Indian Ocean region,0,"12,906624"
Inmarsat-AERO Pacific Ocean region,0,"12,906624"
Inmarsat-B Atlantic Ocean region East,0,"12,906624"
Inmarsat-B Atlantic Ocean region West,0,"12,906624"
Inmarsat-B Indian Ocean region,0,"12,906624"
Inmarsat-B Pacific Ocean region,0,"12,906624"
Inmarsat-M Atlantic Ocean region East,0,"12,906624"
Inmarsat-M Atlantic Ocean region West,0,"12,906624"
Inmarsat-M Indian Ocean region,0,"12,906624"
Inmarsat-M Pacific Ocean region,0,"12,906624"
Inmarsat-Mini M Atlantic Ocean region East,0,"12,906624"
Inmarsat-Mini M Atlantic Ocean region West,0,"12,906624"
Inmarsat-Mini M Indian Ocean region,0,"12,906624"
Inmarsat-Mini M Pacific Ocean region,0,"12,906624"
InSat,0,"6,9709248"
"International Networks, shared code",0,"8,13131136"
International Shared Cost Number,0,"0,1337472"
Iran,0,"0,06044544"
"Iran, mobile",0,"0,11695104"
Iraq,0,"0,1881792"
"Iraq, mobile",0,"0,27599616"
Ireland,0,"0,0124416"
"Ireland, mobile",0,"0,139968"
"Ireland, mobile H3G",0,"0,10025856"
"Ireland, mobile Meteor",0,"0,10233216"
"Ireland, mobile O2",0,"0,08574336"
"Ireland, mobile Vodafone",0,"0,0668736"
"Ireland, Special Services",0,"0,22156416"
Iridium,0,"5,80836096"
Israel,0,"0,0124416"
"Israel, mobile",0,"0,03131136"
"Israel, Tel Aviv",0,"0,0145152"
Israel-Palestine Auth.,0,"0,22571136"
"Israel-Palestine Auth., mobile",0,"0,2612736"
Italy nomadiche,1,"0,022272"
Italy nomadiche,2,"0,022272"
"Italy, 155ccWind",0,"0,12"
"Italy, 840 0 Telecom Italia",0,0
"Italy, 840 1100 BT-Italia",0,0
"Italy, 840 1107 BT-Italia",0,0
"Italy, 840 1113 BT-Italia",0,0
"Italy, 840 1117 BT-Italia",0,0
"Italy, 840 1123 BT-Italia",0,0
"Italy, 840 1137 BT-Italia",0,0
"Italy, 840 1147 BT-Italia",0,0
"Italy, 840 1161 BT-Italia",0,0
"Italy, 840 1181 BT-Italia",0,0
"Italy, 840 1199 BT-Italia",0,0
"Italy, 840 1300 Eutelia",0,0
"Italy, 840 1301 Eutelia",0,0
"Italy, 840 1302 Eutelia",0,0
"Italy, 840 1303 Eutelia",0,0
"Italy, 840 1313 Eutelia",0,0
"Italy, 840 1315 Eutelia",0,0
"Italy, 840 1403 Fastweb Mediterranea",0,0
"Italy, 840 1404 Fastweb Mediterranea",0,0
"Italy, 840 1405 Fastweb Mediterranea",0,0
"Italy, 840 1406 Fastweb Mediterranea",0,0
"Italy, 840 1431 Eutelia",0,0
"Italy, 840 1511 Eutelia",0,0
"Italy, 840 2222 BT-Italia",0,0
"Italy, 840 2922 BT-Italia",0,0
"Italy, 840 300 Tiscali",0,0
"Italy, 840 32 Colt Telecom",0,0
"Italy, 840 6903 Eutelia",0,0
"Italy, 840 6904 Eutelia",0,0
"Italy, 840 6905 Eutelia",0,0
"Italy, 840 6907 Eutelia",0,0
"Italy, 840 6908 Eutelia",0,0
"Italy, 840 6928 Eutelia (ex Noicom)",0,0
"Italy, 840 6939 Eutelia",0,0
"Italy, 840 70 BT/Albacom",0,0
"Italy, 840 8 Telecom Italia",0,0
"Italy, 840 8480 Fastweb",0,0
"Italy, 840 8484 Fastweb",0,0
"Italy, 840 8844 Fastweb",0,0
"Italy, 840 8888 Fastweb",0,0
"Italy, 840 9910 Tele 2",0,0
"Italy, 848",1,"0,0408"
"Italy, 848",2,"0,02352"
"Italy, 848.0000xx Fastweb Mediterranea",1,"0,03072"
"Italy, 848.0000xx Fastweb Mediterranea",2,"0,175488"
"Italy, 848.0001xx Fastweb Mediterranea",1,"0,064512"
"Italy, 848.0001xx Fastweb Mediterranea",2,"0,064512"
"Italy, 848.0002xx Fastweb Mediterranea",1,"0,0408"
"Italy, 848.0002xx Fastweb Mediterranea",2,"0,02352"
"Italy, 848.0003xx Fastweb Mediterranea",1,"0,0408"
